No,Sample_no,test_Temp,test_Humid,test_pH,test_N,test_P,test_K,test_Salinity,test_Conductivity,lab_pH,lab_N,lab_P,lab_K,lab_EC,mobi_pH,mobi_N,mobi_P,mobi_K,kit_pH,kit_N,kit_P,kit_K,sim_pH,sim_N,sim_P,sim_K
4,734/1,23.1,49,6.9,0,27,19,79,145,4.4,0.06,5,50,0.0335,4.4,0.06,9,9,5,0.07,3,30,6.8,0.005,4,50
7,734/2,22.9,46.8,6,0,27,19,79,145,4.3,0.06,5,51,0.0351,4.3,0.06,9,8,5,0.07,3,30,6.8,0.005,4,50
10,734/3,22.7,46.8,5.9,0,27,19,79,145,4.3,0.055,5,51,0.0361,4.3,0.055,8,8,5,0.07,3,30,6.8,0.005,4,50
13,739/1,22.7,49.5,7.3,0,26,18,78,144,5.8,0.09,2,83,0.0249,5.8,0.09,5,14,5.5,0.07,3,45.5,7,0.005,4,50
16,739/2,22.4,49,6.2,0,26,18,79,144,5.5,0.085,2,89,0.0273,5.5,0.085,5,13,5.5,0.07,3,45.5,7,0.005,4,50
19,739/3,22.4,49,6.7,0,26,18,79,144,5.6,0.085,2,89,0.0221,5.6,0.085,5,15,5.5,0.07,3,45.5,7,0.005,4,50
22,782/1,21.9,49.5,5.4,0,26,18,78,143,4.8,0.07,124,26,0.0269,4.8,0.07,155,6,5,0.05,18,30,6.8,0.005,4,50
25,782/2,21.8,49,5.6,0,26,18,78,143,4.8,0.07,122,30,0.026,4.8,0.07,153,5,5,0.05,18,30,7,0.005,4,50
28,782/3,21.9,47.9,5.5,0,26,18,78,143,4.9,0.075,131,29,0.0252,4.9,0.075,156,5,5,0.05,18,30,6.7,0.005,4,50
31,784/1,21.8,46.7,6.7,1,49,41,105,191,5.4,0.11,2,71,0.1088,5.4,0.11,7,11,6,0.12,3,30,7,0.005,4,50
34,784/2,21.7,48.1,6.8,1,50,42,106,193,5.5,0.105,2,77,0.1087,5.5,0.105,8,12,6,0.12,3,30,7,0.005,4,50
37,784/3,21.1,49,6.5,2,51,43,107,195,5.5,0.11,2,76,0.1112,5.5,0.11,8,12,6,0.12,3,30,7,0.005,4,50
40,785/1,21.4,49.5,5.1,0,22,14,74,136,5.0,0.035,2,25,0.01266,5,0.035,5,5,5,0.05,3,30,7,0.005,4,50
43,785/2,20.8,52.8,5.6,0,22,14,74,136,5.2,0.03,2,26,0.01398,5.2,0.03,5,5,5,0.05,3,30,7,0.005,4,50
46,785/3,20.6,49,5.4,0,22,14,74,136,5.0,0.03,2,27,0.01408,5,0.03,5,5,5,0.05,3,30,7,0.005,4,50
49,788/1,20.8,49.5,5.1,0,45,37,100,182,5.3,0.065,12,92,0.0894,5.3,0.065,21,13,6,0.07,6.5,45.5,7,0.005,4,50
52,788/2,20.7,48.2,5.9,0,44,36,99,180,5.5,0.07,11,100,0.0891,5.5,0.07,18,14,6,0.07,6.5,45.5,7,0.005,4,50
55,788/3,20.6,49.6,5.3,0,45,37,100,182,5.5,0.065,10,100,0.0824,5.5,0.065,18,14,6,0.07,6.5,45.5,7,0.005,4,50
58,791/1,20.6,48.2,6.4,0,34,26,55,160,5.6,0.065,13,130,0.0476,5.6,0.065,17,24,6,0.07,6.5,45.5,7,0.005,4,50
61,791/2,21.4,49.7,5.8,0,34,27,88,161,5.7,0.075,13,130,0.047,5.7,0.075,14,23,6,0.07,6.5,45.5,6.8,0.005,4,50
64,791/3,20.8,49,6.2,0,34,27,88,161,5.9,0.075,15,140,0.0476,5.9,0.075,15,24,6,0.07,6.5,45.5,7,0.005,4,50
