No,Sample_no,test_Temp,test_Humid,test_pH,test_N,test_P,test_K,test_Salinity,test_Conductivity,lab_pH,lab_N,lab_P,lab_K,lab_EC,mobi_pH,mobi_N,mobi_P,mobi_K,kit_pH,kit_N,kit_P,kit_K,sim_pH,sim_N,sim_P,sim_K
4,723/1,24.40,54.60,7.50,0.00,24.00,16.00,77.00,140.00,5.90,0.01,24.00,10.00,0.02,5.90,0.01,62.00,41.00,6.50,0.05,6.50,30.00,7.00,0.01,4.00,50.00
7,723/2,24.40,49.30,7.40,0.00,24.00,16.00,77.00,140.00,5.60,0.01,23.00,10.00,0.02,5.60,0.01,51.00,40.00,6.50,0.05,6.50,30.00,7.00,0.01,4.00,50.00
10,723/3,24.40,47.60,7.70,0.00,24.00,16.00,77.00,140.00,5.60,0.01,21.00,10.00,0.02,5.60,0.01,56.00,36.00,6.50,0.05,6.50,30.00,7.00,0.01,4.00,50.00
13,754/1,24.10,47.80,6.30,0.00,35.00,27.00,89.00,162.00,5.60,0.05,50.00,24.00,0.05,5.60,0.05,56.00,5.00,5.50,0.07,6.50,30.00,6.80,0.01,4.00,50.00
16,754/2,24.10,48.10,6.30,0.00,34.00,26.00,88.00,160.00,5.40,0.05,53.00,25.00,0.05,5.40,0.05,58.00,6.00,5.50,0.07,6.50,30.00,7.00,0.01,4.00,50.00
19,754/3,23.90,51.60,6.20,0.00,33.00,25.00,86.00,158.00,5.30,0.05,46.00,25.00,0.04,5.30,0.05,55.00,6.00,5.50,0.07,6.50,30.00,6.80,0.01,4.00,50.00
22,770/1,23.60,61.60,6.60,0.00,26.00,18.00,78.00,143.00,5.50,0.02,3.00,24.00,0.02,5.50,0.02,7.00,6.00,5.00,0.05,3.00,30.00,7.00,0.01,4.00,50.00
25,770/2,24.10,49.00,7.00,0.00,26.00,18.00,78.00,143.00,5.90,0.02,3.00,25.00,0.02,5.90,0.02,8.00,6.00,5.00,0.05,3.00,30.00,7.00,0.01,4.00,50.00
28,770/3,24.00,50.30,7.40,0.00,26.00,18.00,78.00,143.00,5.70,0.02,3.00,24.00,0.02,5.70,0.02,8.00,6.00,5.00,0.05,3.00,30.00,7.00,0.01,4.00,50.00
31,774/1,23.90,49.50,7.10,0.00,26.00,18.00,78.00,143.00,5.30,0.04,2.00,25.00,0.02,5.30,0.04,3.00,5.00,5.00,0.05,3.00,30.00,7.00,0.01,4.00,50.00
34,774/2,24.00,48.20,7.00,0.00,26.00,18.00,78.00,143.00,5.20,0.03,2.00,25.00,0.02,5.20,0.03,3.00,4.00,5.00,0.05,3.00,30.00,7.00,0.01,4.00,50.00
37,774/3,23.80,49.70,7.20,0.00,25.00,17.00,76.00,142.00,5.20,0.03,2.00,26.00,0.02,5.20,0.03,3.00,5.00,5.00,0.05,3.00,30.00,7.00,0.01,4.00,50.00
40,775/1,23.60,47.80,7.00,0.00,32.00,24.00,85.00,156.00,5.30,0.09,107.00,43.00,0.04,5.30,0.09,143.00,8.00,5.00,0.07,35.50,30.00,7.00,0.01,4.00,50.00
