No,Sample_no,test_Temp,test_Humid,test_pH,test_N,test_P,test_K,test_Salinity,test_Conductivity,lab_pH,lab_N,lab_P,lab_K,lab_EC,mobi_pH,mobi_N,mobi_P,mobi_K,kit_pH,kit_N,kit_P,kit_K,sim_pH,sim_N,sim_P,sim_K
4,727/1,30.2,33.8,5.9,0,24,16,76,139,5.3,0.035,151,37,0.01785,5.3,0.035,204,8,6.5,0.05,35.5,30,6.8,0.005,4,50
7,727/2,29.4,35.3,6.4,0,25,17,77,141,5.8,0.035,129,38,0.01814,5.8,0.035,208,7,6.5,0.05,35.5,30,7,0.005,4,50
10,727/3,29.3,37.4,6.9,0,25,17,77,141,5.7,0.04,136,39,0.021,5.7,0.04,208,8,6.5,0.05,35.5,30,7,0.005,4,50
13,728/1,29.8,37.8,4.9,0,21,13,73,134,4.7,0.035,5,16,0.0209,4.7,0.035,5,4,5,0.05,3,30,6.8,0.005,4,50
16,728/2,28.4,40.8,5.6,0,22,14,74,135,4.9,0.03,5,17,0.01949,4.9,0.03,5,4,5,0.05,3,30,6.8,0.005,4,50
19,728/3,28.1,38.6,5.7,0,22,14,74,135,4.8,0.03,5,17,0.01798,4.8,0.03,5,4,5,0.05,3,30,7,0.005,4,50
22,731/1,28.1,39.2,6.2,0,22,15,75,136,5.1,0.07,5,19,0.01699,5.1,0.07,6,4,5.5,0.07,3,30,7,0.005,4,50
25,731/2,27.9,36.1,5.6,0,23,15,75,138,5,0.06,5,21,0.01644,5,0.06,6,4,5.5,0.07,3,30,7,0.005,4,50
28,731/3,27.9,37.2,5.9,0,23,15,75,137,5,0.065,5,21,0.0208,5,0.065,7,4,5.5,0.07,3,30,7,0.005,4,50
31,753/1,27.5,35.4,7.8,0,45,37,100,182,6.8,0.05,25,46,0.0923,6.8,0.05,32,11,7,0.07,6.5,45.5,7,0.005,4,50
34,753/2,27.5,36.7,8.3,0,46,38,101,185,6.7,0.05,24,49,0.0865,6.7,0.05,33,10,7,0.07,6.5,45.5,7,0.005,4,50
37,753/3,27.4,35.7,8.6,0,45,37,100,182,6.9,0.055,23,47,0.0933,6.9,0.055,31,12,7,0.07,6.5,45.5,7,0.005,4,50
40,755/1,27.4,37.1,7.8,0,29,21,82,150,5.8,0.045,77,25,0.0348,5.8,0.045,110,7,6,0.05,18,30,7,0.005,4,50
43,755/2,27.4,35.4,6.8,0,29,21,81,149,6,0.045,68,27,0.0359,6,0.045,108,7,6,0.05,18,30,6.8,0.005,4,50
46,755/3,27.6,37,6.7,0,31,23,84,153,6,0.045,81,27,0.0337,6,0.045,111,8,6,0.05,18,30,7,0.005,4,50
49,776/1,27,35.5,5.9,0,33,25,86,158,5.4,0.08,140,55,0.0567,5.4,0.08,151,10,5.5,0.07,35.5,45.5,7,0.005,4,50
52,776/2,26.9,35.7,5.6,0,31,24,85,155,5.4,0.08,134,58,0.0572,5.4,0.08,144,9,5.5,0.07,35.5,45.5,7,0.005,4,50
55,776/3,27.2,35.8,5.4,0,33,25,86,158,5.4,0.075,130,56,0.0514,5.4,0.075,145,11,5.5,0.07,35.5,45.5,7,0.005,4,50
